gesture_id,tap,app_name,origin_first_finger,pressure_first_finger,time_stamp_first,size_first_finger,x_coordinate_first_finger,y_coordinate_first_finger,distance,iskid
247,Unidentified,com.google.android.apps.photos,True,50,1504204355793,5.0,836,1610,0.0,0
296,Swipe,,True,36,1504200871940,4.0,774,1514,0.0,0
236,Tap,,True,46,1507566021639,4.0,853,756,0.0,0
78,Swipe,com.google.android.apps.photos,True,41,1501270657898,2.0,481,1802,0.0,0
366,Tap,,True,31,1504191788881,3.0,389,1700,0.0,1
259,Unidentified,com.google.android.apps.photos,True,43,1501195643446,5.0,1164,1766,0.0,0
27,Tap,,False,84,1504799063851,11.0,633,1601,0.0,1
89,Unidentified,com.google.android.apps.photos,True,23,1504720190932,2.0,977,1636,0.0,0
125,Tap,com.google.android.apps.photos,True,50,1501962348938,4.0,408,1373,0.0,0
68,Swipe,,False,31,1504807969207,1.0,1001,204,0.0,0
251,Swipe,com.google.android.apps.photos,True,22,1504192776493,2.0,470,1801,0.0,1
5,TwoFinger,com.mehequanna.gestureplayground,True,81,1504799006759,7.0,1230,491,2313.1320757795047,1
237,Swipe,com.google.android.apps.photos,True,30,1504542284415,3.0,866,1466,0.0,1
226,Swipe,com.google.android.apps.photos,True,50,1504190177097,5.0,1107,1543,0.0,1
299,Scroll,com.google.android.youtube,True,31,1499371671807,3.0,865,2061,0.0,0
224,Tap,com.mehequanna.gestureplayground,False,53,1504208537305,4.0,340,646,0.0,1
165,Swipe,com.google.android.apps.photos,True,41,1498777814017,3.0,295,1732,0.0,0
107,Unidentified,com.google.android.googlequicksearchbox,True,44,1504196153242,4.0,818,1844,0.0,1
215,Tap,com.google.android.apps.photos,True,98,1504201915376,12.0,230,1184,0.0,0
52,Tap,com.google.android.apps.photos,True,51,1500219782952,5.0,366,980,0.0,0
11,Tap,,False,54,1504537121849,6.0,492,1720,0.0,0
51,Tap,,False,59,1504796298969,6.0,696,1519,0.0,1
163,Swipe,com.google.android.apps.photos,True,53,1504808267943,4.0,870,1485,0.0,0
387,Tap,,True,49,1504192065414,4.0,1001,538,0.0,1
204,Tap,com.mehequanna.gestureplayground,False,27,1504800748065,2.0,198,1510,0.0,1
175,Swipe,com.google.android.apps.photos,True,48,1501195422149,5.0,374,1641,0.0,0
59,Swipe,,False,36,1504205197752,4.0,487,1176,0.0,0
